count,ax,ay,az,gx,gy,gz
467,748,-348,18716,-652,4325,-107
468,680,-572,18432,-778,4197,-99
469,680,-612,18472,-765,4085,-87
470,516,-468,18864,-745,3994,-66
471,640,-312,18896,-744,3945,-85
472,328,-344,18916,-756,3953,-92
473,376,-344,18712,-748,3945,-172
474,380,-360,18636,-723,3973,-267
475,388,-388,18652,-705,4053,-336
476,92,-476,18596,-742,4187,-483
477,-148,-436,18388,-784,4319,-584
478,1244,-684,19528,-673,4263,-521
479,540,160,19160,-812,4585,-39
480,48,360,18548,-663,4013,274
481,1420,176,18632,-760,4072,301
482,600,-512,18656,-673,3635,94
483,-652,-296,18588,-742,3389,-257
484,-472,-688,18556,-755,3590,-147
485,-132,-272,18580,-767,3301,5
486,-220,-196,18824,-907,3488,-25
487,-524,-216,18576,-815,3504,-165
488,-484,-288,18780,-705,3458,-90
489,-524,-344,18616,-724,3519,-100
490,-656,-436,18608,-792,3602,-192
491,-708,-548,18796,-786,3576,-225
492,-740,-296,18668,-808,3680,-277
493,-940,-368,18472,-779,3779,-404
494,-980,-324,18484,-728,3893,-506
495,-1156,-476,18660,-671,3950,-585
496,-1160,-352,18452,-698,3992,-692
497,-1176,-592,18600,-659,4121,-766
498,-2480,-392,18180,-497,3820,-693
499,-1816,-1612,19040,-1045,2935,-34
500,-1968,-644,17848,-851,3215,231
501,-1908,36,18628,-560,3065,-289
502,-1260,-344,18468,-603,2908,-189
503,-2032,-584,18792,-744,2605,43
504,-2216,-384,18668,-1035,2414,13
505,-1964,-224,18592,-890,2326,-181
506,-2152,-220,18252,-617,1922,-105
507,-2188,-304,18516,-624,1649,2
508,-2272,-348,18708,-786,1371,-77
509,-2488,-444,18592,-780,1040,-122
510,-2672,-516,18528,-719,571,-146
511,-2288,-260,18608,-820,259,-100
512,-2448,-216,18552,-828,-143,-111
513,-2652,-372,18764,-812,-538,-57
514,-2660,-328,18572,-776,-1095,-64
515,-2792,-436,18616,-802,-1582,-136
516,-2804,-404,18504,-829,-2179,-143
517,-2656,-108,18576,-762,-2843,-133
518,-2544,-268,18636,-818,-3432,-76
519,-2612,-332,18548,-860,-4097,-55
520,-2500,-392,18352,-918,-4712,-55
521,-2276,-332,18468,-1016,-5291,-68
522,-1980,-324,18632,-1064,-5825,-55
523,-1816,-224,18404,-1031,-6258,-63
524,-1416,-288,18632,-982,-6624,-23
525,-1100,-624,18592,-1196,-6960,136
526,-756,-588,18572,-1351,-7321,413
527,-440,-336,18612,-1320,-7721,628
528,-372,-120,18672,-1161,-8069,755
529,-48,-248,18676,-1085,-8123,957
530,1068,-164,18928,-1051,-8918,1653
531,-4576,984,14812,-1151,-8484,808
532,1836,-1240,19756,-860,-7126,784
533,156,856,18776,-1172,-7619,176
534,1272,-436,18904,-1166,-6904,6
535,1568,24,18988,-905,-6808,-200
536,1252,-480,18332,-909,-6707,-188
537,1408,-564,18112,-714,-6372,-183
538,1900,-468,18692,-773,-6260,-136
539,1600,-656,18580,-985,-6159,-155
540,2120,-364,18948,-1075,-5759,-137
541,2068,-228,18628,-1030,-5687,-60
542,2856,-168,18408,-953,-5503,-19
543,2512,-380,18272,-860,-5475,95
544,2448,-80,18612,-839,-5148,11
545,2616,-752,18736,-756,-4903,12
546,2520,-244,18204,-726,-4818,-134
547,3148,-588,18700,-809,-4433,-41
548,2820,-600,18428,-901,-4359,-16
549,3244,-784,18664,-1048,-3886,-89
550,3404,-148,18360,-1005,-3492,-263
551,3860,-100,18620,-795,-3069,-163
552,3460,-392,18376,-772,-2573,-92
553,3680,-468,18648,-840,-2052,-158
554,3980,-684,18388,-820,-1575,-164
555,3976,-528,18360,-812,-1025,-124
556,3984,-460,18492,-781,-516,-106
557,3812,-376,18628,-841,-66,-97
558,3796,-460,18432,-834,323,-84
559,3572,-472,18420,-811,646,-60
560,3608,-492,18444,-757,952,-87
561,3340,-396,18408,-737,1177,-105
562,3276,-492,18592,-796,1394,-70
563,3188,-528,18480,-801,1568,-85
564,3100,-408,18568,-766,1676,-98
565,3024,-404,18512,-751,1757,-85
566,3016,-420,18356,-754,1909,-103
567,2924,-392,18672,-792,2000,-92
568,2868,-428,18604,-802,2086,-117
569,2800,-372,18524,-747,2121,-105
570,2588,-504,18472,-734,2203,-106
571,2712,-492,18428,-738,2279,-100
572,2576,-464,18492,-766,2366,-129
573,2616,-452,18572,-757,2398,-123
574,2424,-360,18496,-756,2428,-108
575,2528,-344,18584,-744,2459,-103
576,2388,-408,18704,-775,2557,-92
577,2444,-512,18544,-749,2563,-124
578,2356,-384,18636,-782,2606,-93
579,2152,-460,18520,-736,2645,-69
580,2148,-384,18620,-733,2704,-77
581,1972,-360,18524,-749,2672,-115
582,2076,-404,18456,-757,2644,-72
583,1740,-356,18580,-755,2610,-71
584,1868,-368,18780,-737,2565,-106
585,1764,-420,18684,-703,2519,-104
586,1748,-392,18568,-768,2458,-96
587,1672,-420,18688,-780,2340,-109
588,1652,-460,18780,-773,2298,-115
589,1528,-388,18724,-779,2204,-128
590,1408,-448,18764,-788,2095,-132
591,1452,-344,18752,-752,2006,-107
592,1492,-412,18692,-777,1884,-107
593,1628,-312,18884,-795,1793,-105
594,1296,-248,18768,-805,1629,-90
595,1372,-432,18688,-778,1546,-89
596,1376,-364,18724,-782,1491,-91
597,1324,-368,18708,-771,1357,-98
598,1328,-404,18660,-813,1282,-86
599,1276,-300,18744,-812,1251,-68
600,1292,-368,18692,-794,1191,-95
601,1292,-352,18668,-787,1154,-116
602,1224,-412,18560,-826,1139,-94
603,1320,-432,18548,-840,1109,-76
604,1324,-300,18692,-815,1121,-85
605,1324,-452,18696,-803,1118,-89
606,1292,-416,18508,-808,1086,-103
607,1324,-432,18648,-787,1089,-90
608,1196,-376,18688,-779,1077,-103
609,1212,-440,18596,-746,1031,-84
610,1236,-416,18800,-804,1056,-107
611,1252,-380,18812,-809,1042,-119
612,1084,-352,18668,-813,1014,-136
613,1172,-376,18592,-784,980,-165
614,1008,-392,18832,-828,1020,-184
615,1072,-436,18604,-814,1020,-271
616,988,-404,18768,-822,1012,-318
617,916,-328,18800,-803,1022,-362
618,920,-396,18728,-812,999,-412
619,1020,-332,18800,-792,978,-421
620,1152,-420,18764,-793,966,-384
621,1096,-504,18788,-805,905,-329
622,1520,-308,18800,-837,834,-244
623,876,-468,18648,-806,730,-181
624,1112,-492,18800,-808,730,-115
625,1020,-300,18640,-832,669,-51
626,920,-340,18824,-847,720,-73
627,932,-428,18780,-839,702,-116
